"PersonID","session","rt"
"101",1,2887.5
"101",2,2243.93333333333
"101",3,2363.72413793103
"101",4,2099.33333333333
"101",5,2475.8
"101",6,2220.66666666667
"102",1,2633.20689655172
"102",2,2389.42857142857
"102",3,2302.3
"102",4,1967.1
"102",5,2111.78571428571
"102",6,2248.10344827586
"105",1,2297.17857142857
"105",2,1989.66666666667
"105",3,1950.20689655172
"105",4,1550.03448275862
"105",5,1804.96551724138
"105",6,1810.57142857143
"106",1,1747.66666666667
"106",2,1424.8275862069
"106",3,1534.7
"106",4,1577.96666666667
"106",5,1323.23333333333
"106",6,1422.46666666667
"107",1,1637.07142857143
"107",2,1531.56666666667
"107",3,1640.06666666667
"107",4,1305.36666666667
"107",5,1516.2
"107",6,1473.86666666667
"108",1,2501.11538461538
"108",2,2329.53571428571
"108",3,2390.31034482759
"108",4,2365
"108",5,2363
"108",6,2287.39285714286
"109",1,1224.92592592593
"109",2,1329.16666666667
"109",3,1357.86956521739
"109",4,1443.85185185185
"109",5,1155.92
"109",6,1164.29166666667
"110",1,1772.75
"110",2,1857.96551724138
"110",3,1788.89655172414
"110",4,1458.89285714286
"110",5,1782.9
"110",6,1698.28571428571
"111",1,1259.07692307692
"111",2,1451.8275862069
"111",3,1277.7
"111",4,1155.9
"111",5,1248.10344827586
"111",6,1466.06666666667
"112",1,1973.10344827586
"112",2,1546.55172413793
"112",3,1391.23333333333
"112",4,1445.65517241379
"112",5,1452.93103448276
"112",6,1576.8275862069
"113",1,2004.56666666667
"113",2,1738.76666666667
"113",3,1665.03333333333
"113",4,1641.06666666667
"113",5,1680.2
"113",6,1620.23333333333
"116",1,1375.64285714286
"116",2,1371.64285714286
"116",3,1323.37931034483
"116",4,1340.57142857143
"116",5,1290.56666666667
"116",6,1153.89655172414
"117",1,2001.82142857143
"117",2,1861.92857142857
"117",3,1715.36666666667
"117",4,1776.20689655172
"117",5,1966.14285714286
"117",6,1746.44827586207
"118",1,1815.58620689655
"118",2,1788.2
"118",3,1650.89655172414
"118",4,1771.27586206897
"118",5,1684.96551724138
"118",6,1635.86206896552
"120",1,1203.10714285714
"120",2,1342.1724137931
"120",3,1351.06666666667
"120",4,1356.03333333333
"120",5,1365.86666666667
"120",6,1399.13333333333
"121",1,1882.1724137931
"121",2,1755.85714285714
"121",3,1977.1
"121",4,2137.60714285714
"121",5,2579
"121",6,1990.2
"124",1,2065
"124",2,2118.7
"124",3,2026.96551724138
"124",4,2218.33333333333
"124",5,1754.9
"124",6,1871.8275862069
"125",1,2246.1724137931
