"schoolid","lowinc","childid","sex","grade","math"
"2020",40.3,"273026452","Female",2,1.146
"2020",40.3,"273026452","Female",3,1.134
"2020",40.3,"273026452","Female",4,2.3
"2020",40.3,"273030991","Female",0,-1.303
"2020",40.3,"273030991","Female",1,0.439
"2020",40.3,"273030991","Female",2,2.43
"2020",40.3,"273030991","Female",3,2.254
"2020",40.3,"273030991","Female",4,3.873
"2020",40.3,"273059461","Female",0,-1.384
"2020",40.3,"273059461","Female",1,0.338
"2020",40.3,"273059461","Female",2,1.146
"2020",40.3,"273059461","Female",3,1.839
"2020",40.3,"273059461","Female",4,3.055
"2020",40.3,"278058841","Female",0,-0.733
"2020",40.3,"278058841","Female",1,1.043
"2020",40.3,"278058841","Female",2,2.14
"2020",40.3,"278058841","Female",3,2.814
"2020",40.3,"278058841","Female",4,3.544
"2020",40.3,"292017571","Female",0,-0.733
"2020",40.3,"292017571","Female",1,0.148
"2020",40.3,"292017571","Female",2,2.79
"2020",40.3,"292020281","Female",0,-3.068
"2020",40.3,"292020281","Female",0,-1.13
"2020",40.3,"292020281","Female",1,-0.921
"2020",40.3,"292020281","Female",2,0.463
"2020",40.3,"292020281","Female",3,0.021
"2020",40.3,"292020281","Female",4,2.035
"2020",40.3,"292020361","Female",0,-2.732
"2020",40.3,"292020361","Female",0,-2.097
"2020",40.3,"292020361","Female",1,-0.988
"2020",40.3,"292020361","Female",2,0.227
"2020",40.3,"292020361","Female",3,0.403
"2020",40.3,"292020361","Female",4,1.623
"2020",40.3,"292025081","Female",0,-1.83
"2020",40.3,"292025081","Female",1,-0.785
"2020",40.3,"292025081","Female",2,0.716
"2020",40.3,"292025081","Female",3,1.202
"2020",40.3,"292025081","Female",4,3.055
"2020",40.3,"292026211","Male",0,-1.541
"2020",40.3,"292026211","Male",1,-0.273
"2020",40.3,"292026211","Male",2,-0.522
"2020",40.3,"292026211","Male",3,0.459
"2020",40.3,"292026211","Male",4,2.099
"2020",40.3,"292027291","Male",0,-1.76
"2020",40.3,"292027291","Male",1,-0.921
"2020",40.3,"292027291","Male",2,0.852
"2020",40.3,"292027291","Male",3,1.748
"2020",40.3,"292027291","Male",4,2.6
"2020",40.3,"292027531","Female",0,-1.83
"2020",40.3,"292027531","Female",1,-0.501
"2020",40.3,"292027531","Female",2,0.114
"2020",40.3,"292027531","Female",3,1.661
"2020",40.3,"292027531","Female",4,2.164
"2020",40.3,"292028181","Male",0,-2.351
"2020",40.3,"292028181","Male",1,-1.505
"2020",40.3,"292028181","Male",2,-0.725
"2020",40.3,"292028181","Male",3,0.021
"2020",40.3,"292028181","Male",4,1.514
"2020",40.3,"292028931","Female",0,-1.218
"2020",40.3,"292028931","Female",1,-0.273
"2020",40.3,"292028931","Female",2,0.463
"2020",40.3,"292028931","Female",3,0.573
"2020",40.3,"292028931","Female",4,1.736
"2020",40.3,"292029071","Male",0,-1.966
"2020",40.3,"292029071","Male",1,-0.574
"2020",40.3,"292029071","Male",2,0.227
"2020",40.3,"292029071","Male",3,1.748
"2020",40.3,"292029071","Male",4,2.231
"2020",40.3,"292029901","Female",0,-2.718
"2020",40.3,"292029901","Female",1,-1.378
"2020",40.3,"292029901","Female",2,-0.623
"2020",40.3,"292029901","Female",3,0.811
"2020",40.3,"292029901","Female",4,1.973
"2020",40.3,"292033851","Male",0,-2.96
"2020",40.3,"292033851","Male",1,-1.25
"2020",40.3,"292033851","Male",2,-0.725
"2020",40.3,"292033851","Male",3,0.128
"2020",40.3,"292033851","Male",4,1.514
"2020",40.3,"295341521","Male",0,-2.732
"2020",40.3,"295341521","Male",0,-1.898
"2020",40.3,"295341521","Male",1,-0.921
"2020",40.3,"295341521","Male",2,0.587
"2020",40.3,"295341521","Male",3,1.578
"2020",40.3,"295341521","Male",4,2.3
"2020",40.3,"298046562","Male",2,0.003
"2020",40.3,"298046562","Male",3,0.573
"2020",40.3,"298046562","Male",4,1.148
"2020",40.3,"301853741","Male",0,-0.733
"2020",40.3,"301853741","Male",1,-0.645
"2020",40.3,"301853741","Male",2,1.146
"2020",40.3,"307407931","Female",0,-0.733
"2020",40.3,"307407931","Female",1,-0.112
"2020",40.3,"307407931","Female",2,1.146
"2020",40.3,"307694141","Female",0,-2.474
"2020",40.3,"307694141","Female",1,-1.505
"2020",40.3,"307694141","Female",2,-0.623
"2020",40.3,"307694141","Female",3,-0.35
"2040",83.1,"253404261","Female",0,-2.188
"2040",83.1,"253404261","Female",0,-1.541
"2040",83.1,"253404261","Female",1,-0.351
"2040",83.1,"253404261","Female",2,1.309
"2040",83.1,"253404261","Female",3,1.421
"2040",83.1,"253404261","Female",4,2.682
"2040",83.1,"253413681","Male",0,-3.395
"2040",83.1,"253413681","Male",0,-3.232
"2040",83.1,"253413681","Male",1,-2.053
"2040",83.1,"270199271","Female",0,-1.987
"2040",83.1,"270199271","Female",2,-0.419
"2040",83.1,"270199271","Female",3,-0.244
"2040",83.1,"285939962","Female",1,-0.785
"2040",83.1,"285939962","Female",2,0.587
"2040",83.1,"285939962","Female",3,1.421
"2040",83.1,"288699161","Female",0,-2.162
"2040",83.1,"288699161","Female",1,0.241
"2040",83.1,"288699161","Female",2,0.227
"2040",83.1,"288699161","Female",3,1.273
"2040",83.1,"288699161","Female",4,3.055
"2040",83.1,"289970511","Female",0,-1.83
"2040",83.1,"289970511","Female",1,-1.185
"2040",83.1,"289970511","Female",2,0.852
"2040",83.1,"289970511","Female",3,0.573
"2040",83.1,"289970511","Female",4,1.736
"2040",83.1,"292772811","Male",0,-3.144
"2040",83.1,"292772811","Male",1,-2.097
"2040",83.1,"292772811","Male",2,-0.316
"2040",83.1,"293550291","Male",0,-2.097
"2040",83.1,"293550291","Male",1,-1.314
"2040",83.1,"293550291","Male",2,0.003
"2040",83.1,"293550291","Male",3,0.182
"2040",83.1,"299680041","Male",0,-1.538
"2040",83.1,"299680041","Male",1,-0.942
"2040",83.1,"299680041","Male",2,-0.522
"2040",83.1,"299680041","Male",3,0.632
"2040",83.1,"299680041","Male",4,1.794
"2040",83.1,"303652591","Female",0,-1.898
"2040",83.1,"303652591","Female",1,-0.716
"2040",83.1,"303652591","Female",2,0.716
"2040",83.1,"303652591","Female",3,1.066
"2040",83.1,"303652591","Female",4,2.371
"2040",83.1,"303653561","Male",0,-3.232
"2040",83.1,"303653561","Male",0,-2.188
"2040",83.1,"303653561","Male",1,-1.464
"2040",83.1,"303654611","Female",0,-1.987
"2040",83.1,"303654611","Female",1,-1.616
"2040",83.1,"303654611","Female",2,-1.665
"2040",83.1,"303654611","Female",3,-0.35
"2040",83.1,"303654611","Female",4,1.047
"2040",83.1,"303658951","Female",0,-1.772
"2040",83.1,"303658951","Female",1,-0.194
"2040",83.1,"303658951","Female",2,1.678
"2040",83.1,"303660691","Male",0,-2.188
"2040",83.1,"303660691","Male",1,-1.568
"2040",83.1,"303660691","Male",2,-1.236
"2040",83.1,"303660691","Male",3,-0.244
"2040",83.1,"303662391","Female",0,-3.395
"2040",83.1,"303662391","Female",0,-2.474
"2040",83.1,"303662391","Female",1,-1.966
"2040",83.1,"303662391","Female",2,-0.928
"2040",83.1,"303662391","Female",3,0.182
"2040",83.1,"303662391","Female",4,0.798
"2040",83.1,"303663601","Male",0,-3.232
