"Subject","Sex","Stim","Condition","acc","rt"
402,"Female","L1.M2.R4","Ascending",1,1244
402,"Female","L4.M2.R3","Non Order",1,1061
402,"Female","L1.M2.R3","Ascending",1,1044
402,"Female","L3.M1.R1","partial rep",1,788
402,"Female","L4.M3.R1","Descending",1,1306
402,"Female","L2.M2.R2","Repetition",1,1107
402,"Female","L1.M3.R4","Ascending",1,1473
402,"Female","L1.M1.R1","Repetition",1,784
402,"Female","L4.M4.R1","partial rep",0,1304
402,"Female","L1.M4.R1","partial rep",1,1243
402,"Female","L2.M2.R2","Repetition",1,1012
402,"Female","L2.M3.R1","Non Order",1,1300
402,"Female","L2.M3.R4","Ascending",1,1901
402,"Female","L1.M3.R2","Non Order",1,1175
402,"Female","L2.M3.R4","Ascending",1,1318
402,"Female","L4.M2.R3","Non Order",1,1260
402,"Female","L3.M1.R2","Non Order",1,1162
402,"Female","L3.M3.R3","Repetition",1,964
402,"Female","L4.M3.R1","Descending",1,1194
402,"Female","L4.M1.R3","Non Order",1,1408
402,"Female","L2.M2.R2","Repetition",1,763
402,"Female","L4.M3.R2","Descending",1,1241
402,"Female","L4.M3.R2","Descending",1,1232
402,"Female","L4.M3.R1","Descending",1,1171
402,"Female","L4.M4.R4","Repetition",1,1095
402,"Female","L1.M3.R2","Non Order",1,958
402,"Female","L3.M3.R3","Repetition",1,1099
402,"Female","L1.M1.R1","Repetition",1,749
402,"Female","L4.M1.R2","Non Order",1,966
402,"Female","L1.M1.R1","Repetition",1,723
402,"Female","L1.M1.R1","Repetition",1,670
402,"Female","L4.M4.R4","Repetition",0,1120
402,"Female","L2.M3.R4","Ascending",1,1314
402,"Female","L1.M2.R3","Ascending",1,889
402,"Female","L4.M2.R1","Descending",1,914
402,"Female","L1.M2.R3","Ascending",1,1052
402,"Female","L4.M3.R2","Descending",1,1268
402,"Female","L4.M4.R4","Repetition",1,1247
402,"Female","L3.M3.R3","Repetition",1,1194
402,"Female","L4.M3.R1","Descending",1,1111
402,"Female","L1.M1.R1","Repetition",1,623
402,"Female","L1.M1.R1","Repetition",1,536
402,"Female","L3.M2.R1","Descending",1,1001
402,"Female","L4.M2.R1","Descending",1,970
402,"Female","L4.M3.R2","Descending",1,1317
402,"Female","L1.M3.R3","partial rep",1,986
402,"Female","L1.M2.R3","Ascending",1,840
402,"Female","L1.M3.R4","Ascending",1,949
402,"Female","L1.M3.R4","Ascending",1,945
402,"Female","L2.M2.R2","Repetition",1,665
402,"Female","L4.M4.R4","Repetition",1,1201
402,"Female","L1.M4.R2","Non Order",1,887
402,"Female","L1.M4.R3","Non Order",1,1076
402,"Female","L3.M4.R1","Non Order",1,905
402,"Female","L3.M3.R3","Repetition",1,698
402,"Female","L1.M4.R3","Non Order",1,1202
402,"Female","L3.M3.R3","Repetition",1,920
402,"Female","L1.M2.R4","Ascending",1,717
402,"Female","L4.M4.R4","Repetition",1,709
402,"Female","L2.M4.R1","Non Order",1,745
402,"Female","L2.M3.R4","Ascending",1,963
402,"Female","L3.M2.R3","partial rep",1,1439
402,"Female","L1.M2.R4","Ascending",1,729
402,"Female","L4.M2.R1","Descending",1,809
402,"Female","L1.M2.R3","Ascending",1,718
402,"Female","L1.M3.R4","Ascending",1,656
402,"Female","L4.M3.R2","Descending",1,1261
402,"Female","L2.M1.R4","Non Order",1,730
402,"Female","L3.M2.R4","Non Order",1,1008
402,"Female","L4.M3.R1","Descending",1,1001
402,"Female","L3.M3.R3","Repetition",1,992
402,"Female","L3.M1.R4","Non Order",1,1010
402,"Female","L4.M4.R4","Repetition",1,1157
402,"Female","L1.M2.R3","Ascending",1,805
402,"Female","L2.M4.R4","partial rep",1,901
402,"Female","L1.M1.R2","partial rep",1,707
402,"Female","L1.M1.R1","Repetition",1,554
402,"Female","L2.M2.R2","Repetition",1,562
402,"Female","L1.M2.R4","Ascending",1,1116
402,"Female","L1.M1.R1","Repetition",1,672
402,"Female","L2.M2.R2","Repetition",1,786
402,"Female","L2.M3.R4","Ascending",1,1144
402,"Female","L4.M4.R4","Repetition",1,1325
402,"Female","L3.M2.R1","Descending",1,1028
402,"Female","L4.M2.R2","partial rep",1,938
402,"Female","L4.M3.R1","Descending",1,1113
402,"Female","L2.M2.R2","Repetition",1,814
402,"Female","L4.M2.R1","Descending",1,800
402,"Female","L3.M1.R2","Non Order",1,1069
402,"Female","L3.M2.R1","Descending",1,895
402,"Female","L4.M3.R1","Descending",1,1275
402,"Female","L2.M2.R2","Repetition",1,648
402,"Female","L4.M3.R2","Descending",1,1340
402,"Female","L1.M2.R3","Ascending",1,723
402,"Female","L4.M1.R3","Non Order",1,1106
402,"Female","L2.M4.R3","Non Order",1,1202
402,"Female","L2.M4.R1","Non Order",1,1497
402,"Female","L2.M2.R2","Repetition",1,679
402,"Female","L4.M3.R2","Descending",1,888
402,"Female","L1.M3.R4","Ascending",1,1095
402,"Female","L2.M3.R4","Ascending",1,1060
402,"Female","L1.M1.R1","Repetition",1,534
402,"Female","L3.M4.R2","Non Order",1,903
402,"Female","L2.M1.R3","Non Order",1,979
402,"Female","L3.M1.R4","Non Order",1,700
402,"Female","L3.M2.R1","Descending",1,812
402,"Female","L4.M4.R4","Repetition",1,803
402,"Female","L1.M2.R3","Ascending",1,973
402,"Female","L3.M3.R3","Repetition",1,1219
402,"Female","L3.M2.R1","Descending",1,867
402,"Female","L1.M3.R4","Ascending",1,1395
402,"Female","L3.M3.R3","Repetition",1,714
402,"Female","L2.M2.R2","Repetition",1,772
402,"Female","L2.M3.R4","Ascending",1,1122
402,"Female","L1.M2.R4","Ascending",1,715
402,"Female","L1.M1.R1","Repetition",1,596
402,"Female","L2.M1.R4","Non Order",1,690
402,"Female","L4.M2.R1","Descending",1,661
402,"Female","L4.M3.R4","partial rep",1,1277
402,"Female","L4.M2.R1","Descending",1,843
402,"Female","L2.M3.R1","Non Order",1,677
402,"Female","L3.M4.R1","Non Order",1,831
402,"Female","L3.M3.R3","Repetition",1,1207
402,"Female","L4.M2.R1","Descending",1,814
402,"Female","L1.M3.R4","Ascending",1,1365
402,"Female","L3.M2.R1","Descending",1,878
402,"Female","L3.M3.R3","Repetition",1,844
402,"Female","L4.M2.R1","Descending",1,750
402,"Female","L4.M4.R4","Repetition",1,676
402,"Female","L4.M4.R4","Repetition",1,897
402,"Female","L2.M1.R2","partial rep",1,926
402,"Female","L2.M2.R2","Repetition",1,623
402,"Female","L3.M2.R4","Non Order",1,1082
402,"Female","L4.M1.R2","Non Order",1,1030
402,"Female","L1.M2.R4","Ascending",1,599
402,"Female","L4.M4.R4","Repetition",1,805
402,"Female","L2.M4.R3","Non Order",1,1192
402,"Female","L3.M3.R4","partial rep",0,1074
402,"Female","L3.M2.R1","Descending",1,936
402,"Female","L2.M2.R2","Repetition",1,620
402,"Female","L1.M1.R1","Repetition",1,678
402,"Female","L3.M4.R2","Non Order",1,1168
402,"Female","L1.M2.R4","Ascending",1,980
402,"Female","L1.M1.R1","Repetition",1,590
402,"Female","L2.M3.R4","Ascending",1,1172
402,"Female","L2.M1.R3","Non Order",1,1004
402,"Female","L2.M2.R3","partial rep",1,1277
402,"Female","L3.M3.R3","Repetition",1,982
402,"Female","L4.M4.R4","Repetition",1,924
402,"Female","L4.M3.R1","Descending",1,1088
402,"Female","L3.M3.R3","Repetition",1,701
402,"Female","L1.M2.R4","Ascending",1,849
402,"Female","L4.M3.R2","Descending",1,1307
402,"Female","L1.M3.R4","Ascending",1,1352
402,"Female","L3.M2.R1","Descending",1,846
402,"Female","L1.M4.R2","Non Order",1,1005
402,"Female","L3.M2.R1","Descending",1,911
402,"Female","L2.M4.R3","Non Order",1,1300
402,"Female","L4.M2.R2","partial rep",1,659
402,"Female","L3.M3.R3","Repetition",1,1199
402,"Female","L2.M2.R2","Repetition",1,607
402,"Female","L4.M4.R4","Repetition",1,1460
402,"Female","L2.M3.R4","Ascending",1,1126
